City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,298.14,73,98,1.88,PN,1706989348
1,las khorey,11.1595,48.1967,298.35,76,0,3.43,SO,1706989348
2,waitangi,-43.9535,-176.5597,289.16,84,52,0.45,NZ,1706989348
3,arkhangel'sk,64.5401,40.5433,267.21,93,100,4.0,RU,1706989348
4,puerto natales,-51.7236,-72.4875,289.4,36,100,10.29,CL,1706989349
5,georgetown,5.4112,100.3354,301.12,79,20,1.54,MY,1706989212
6,wasselonne,48.6372,7.4473,281.57,81,100,3.09,FR,1706989349
7,isafjordur,66.0755,-23.124,267.7,94,98,5.05,IS,1706989349
8,laguna,38.421,-121.4238,286.78,70,0,2.57,US,1706989349
9,manicore,-5.8092,-61.3003,301.21,88,29,1.36,BR,1706989350
10,ust-nera,64.5667,143.2,248.33,99,100,2.19,RU,1706989350
11,port-aux-francais,-49.35,70.2167,280.97,75,93,4.33,TF,1706989350
12,dhidhdhoo,6.8833,73.1,300.71,78,100,4.48,MV,1706989350
13,grytviken,-54.2811,-36.5092,282.52,94,100,6.12,GS,1706989351
14,arteche,12.2645,125.4048,297.76,82,99,3.28,PH,1706989351
15,phang nga,8.4509,98.5298,299.17,88,69,1.32,TH,1706989351
16,smithers,54.7804,-127.1743,266.33,79,75,1.03,CA,1706989212
17,dawei,14.0833,98.2,294.15,75,16,1.17,MM,1706989351
18,lihue,21.9789,-159.3672,294.92,56,100,11.83,US,1706989351
19,bogale,16.2833,95.4,293.26,77,1,3.91,MM,1706989352
20,edinburgh of the seven seas,-37.0676,-12.3116,289.36,71,23,10.22,SH,1706989352
21,hawaiian paradise park,19.5933,-154.9731,294.28,77,100,5.14,US,1706989352
22,klyuchi,52.2667,79.1667,267.84,79,100,6.33,RU,1706989352
23,lorengau,-2.0226,147.2712,300.75,78,47,1.75,PG,1706989352
24,linjiang,41.8069,126.9078,252.68,97,28,0.52,CN,1706989352
25,pyin oo lwin,22.0333,96.4667,285.79,66,0,0.4,MM,1706989352
26,port lincoln,-34.7333,135.8667,292.73,68,0,2.95,AU,1706989352
27,saipan,15.1355,145.701,299.54,65,0,9.26,MP,1706989353
28,punta arenas,-53.15,-70.9167,287.21,44,40,8.23,CL,1706989284
29,bilibino,68.0546,166.4372,243.94,83,7,3.19,RU,1706989353
30,shira,54.4911,89.9531,256.24,96,100,1.1,RU,1706989353
31,uturoa,-16.7333,-151.4333,300.99,75,53,5.29,PF,1706989353
32,surubim,-7.8331,-35.7547,303.04,44,73,7.46,BR,1706989353
33,uige,-7.6087,15.0613,293.47,95,100,0.68,AO,1706989353
34,prince rupert,54.3161,-130.3201,274.98,80,20,3.6,CA,1706989210
35,tazacorte,28.629,-17.9293,294.69,30,0,3.6,ES,1706989354
36,margaret river,-33.95,115.0667,289.67,55,99,6.78,AU,1706989354
37,thompson,55.7435,-97.8558,272.24,100,100,2.57,CA,1706989276
38,tianfu,37.1936,122.0511,271.06,69,4,4.16,CN,1706989354
